YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders
2026 Regular Session,HB0237,Commercial Law - Earned Wage Access - Revisions,Prohibiting a lender from accepting a tip from a consumer or giving a consumer the option to provide a tip; altering the timeline for certain refunds; subjecting certain earned wage access providers and loan lenders to certain consumer loan requirements; etc.,"This bill prohibits lenders and earned wage access (EWA) providers from accepting tips or offering tipping options to consumers. It reduces the timeframe for lenders to return received tips to consumers from 30 days to 7 days and subjects EWA providers to specific consumer loan regulations. Additionally, EWA providers are required to offer at least one no-cost service option and must disclose that they are legally prohibited from accepting tips or gratuities.",False,2026.0,,,Maryland Department of Labor,"Consumers using earned wage access services and consumer loans, and financial lenders and earned wage access providers."
2026 Regular Session,HB0238,Maryland Heritage Area Authority and Heritage Areas - Alterations,Altering the voting membership of the Maryland Heritage Area Authority; increasing the number of voting members of the Authority that constitutes a quorum from 9 to 10; repealing the requirement that the Authority send copies of boundary maps to certain county clerks; etc.,"This bill modifies the composition and operations of the Maryland Heritage Area Authority by adding new members, adjusting quorum requirements, and streamlining the ways state agencies support heritage areas. It also provides the Authority with greater flexibility in awarding grants and loans for the preservation and revitalization of certified heritage areas by removing specific matching fund caps and allowing the Authority to establish its own terms for financial assistance.",False,2026.0,,,Maryland Heritage Area Authority,"Maryland local jurisdictions, state departments (including Planning, Agriculture, and Education), heritage area management entities, and organizations focused on historic preservation and heritage tourism."
2026 Regular Session,HB0239,Land Use - Zoning - Limitations (Starter and Silver Homes Act of 2026),"Prohibiting local jurisdictions from adopting or enforcing certain zoning provisions relating to lot size, dimensions, setback requirements, lot coverage, and design or architectural elements for certain single-family homes; prohibiting local jurisdictions from prohibiting certain housing types in certain zones; and prohibiting local jurisdictions from prohibiting certain subdivisions of certain lot types.","The Starter and Silver Homes Act of 2026 limits the authority of local jurisdictions to impose certain zoning restrictions on single-family homes and townhouses. Specifically, it prohibits local laws from requiring lot sizes larger than 5,000 square feet in areas with public water and sewer, limits building setbacks, and prevents the enforcement of specific architectural design elements. Additionally, the bill allows property owners to subdivide improved lots in single-family zones into up to three smaller lots and prohibits local governments from banning townhouses in areas zoned for single-family residential use.",False,2026.0,,,Local legislative bodies and the Maryland Department of Housing and Community Development,"Maryland residents, property owners in single-family residential areas, housing developers, and local government jurisdictions"
2026 Regular Session,HB0240,Local Comprehensive Plans - Guidance Materials and Notification to the Department of Planning,"Requiring a local planning commission to notify the Department of Planning when beginning the review of the local jurisdiction's comprehensive plan; requiring the Department, within 60 days of receiving the notification, to provide guidance materials relating to State law, best practices for local comprehensive plans, and any other resources to support the plan's review; and requiring the Department to develop and maintain certain guidance materials in consultation with certain other State agencies and offices.","This bill requires local planning commissions to notify the Maryland Department of Planning when they begin reviewing or revising their comprehensive plans. Within 60 days of such notification, the Department of Planning must provide guidance materials, best practices, and other resources to assist the local jurisdiction. The bill also updates terminology in land use law by replacing the term 'visions' with 'planning principles.'",False,2026.0,,,Maryland Department of Planning,"Local planning commissions, local jurisdictions, and the Maryland Department of Planning"
2026 Regular Session,HB0241,Business Occupations and Professions - State Boards and Commissions - Sunset Extensions,"Continuing the State Board of Barbers, the State Board of Cosmetologists, the State Board for Professional Land Surveyors, the State Commission of Real Estate Appraisers, Appraisal Management Companies, and Home Inspectors, and the State Board of Individual Tax Preparers in accordance with the provisions of the Maryland Program Evaluation Act (sunset law) by extending to July 1, 2032, the termination provisions relating to the statutory and regulatory authority of the boards and commission; etc.","This bill extends the termination dates for several state boards and commissions under the Maryland Department of Labor—including those for barbers, cosmetologists, professional land surveyors, real estate appraisers, appraisal management companies, home inspectors, and individual tax preparers—until July 1, 2032. It also mandates that the Department of Labor submit specific reports on these entities to the Joint Audit and Evaluation Committee by July 1, 2030.",False,2026.0,2032.0,,Maryland Department of Labor,"Barbers, cosmetologists, professional land surveyors, real estate appraisers, appraisal management companies, home inspectors, and individual tax preparers."
2026 Regular Session,HB0242,Unemployment Insurance - Confidentiality of Information,Altering requirements related to the confidentiality of unemployment insurance information to ensure compliance with federal law and regulations; altering existing confidentiality requirements related to inspection of employment records and claim information by agents of child support enforcement units; establishing exceptions to confidentiality requirements in accordance with federal law and regulations; etc.,"This bill updates Maryland's unemployment insurance laws to align with federal confidentiality regulations by defining confidential information and establishing strict protocols for its disclosure to public officials, child support enforcement units, and authorized third parties. It also sets criminal penalties for the unauthorized use or disclosure of this sensitive data by current or former employees of the Maryland Department of Labor and other data recipients.",False,2026.0,,,Maryland Department of Labor,"Unemployment insurance claimants, employers, and employees of the Maryland Department of Labor."
2026 Regular Session,HB0243,Land Use - Comprehensive and General Plans - Alteration of Elements,Altering the required elements of comprehensive and general plans for charter counties and other local jurisdictions; establishing requirements and guidelines for each element; and requiring certain State agencies to provide charter counties and other local jurisdictions with assistance and information relevant to the preparation of each element.,"This bill redefines and updates the mandatory elements required in comprehensive and general land use plans for Maryland's charter counties and other local jurisdictions. It replaces previous planning categories with eight specific elements: Land, Transportation, Housing, Economy, Equity, Resilience, Place, and Ecology. The bill outlines detailed requirements for each element and requires various State agencies, led by the Department of Planning, to provide data and technical assistance to local governments for their planning processes.",False,2026.0,,,Maryland Department of Planning,"Local governments (charter counties and municipal corporations), Maryland residents, commercial watermen, and residents of overburdened or underserved communities."
2026 Regular Session,HB0244,Natural Resources – Vessel Transfers – Transfer–on–Death Beneficiary Designation,Authorizing an individual who is the sole owner of a certain vessel to apply to the Department of Natural Resources to designate a beneficiary to take ownership of the vessel on the death of the owner; requiring a designated beneficiary who survives the owner of a vessel to apply to the Department for a new certificate of title for the vessel; and requiring an application for a certificate of title for a vessel to contain certain information.,"This bill allows a sole owner of a vessel to designate a beneficiary on the certificate of title who will receive ownership of the vessel upon the owner's death. It establishes the process for the owner to designate, change, or cancel a beneficiary and outlines the requirements for a surviving beneficiary to apply for a new title, including providing a death certificate and proof of identity.",False,2026.0,,,Maryland Department of Natural Resources,Individual vessel owners in Maryland and their designated beneficiaries
2026 Regular Session,HB0245,Maryland Energy Administration - Jane E. Lawton Conservation Loan Program and Maryland Strategic Energy Investment Fund,Transferring the Jane E. Lawton Conservation Loan Program from the Maryland Energy Administration to the Maryland Clean Energy Center; repealing the authority of the Maryland Energy Administration to adopt regulations to implement the Program; and altering reporting requirements for the Maryland Strategic Energy Investment Fund.,"This bill transfers the administration of the Jane E. Lawton Conservation Loan Program from the Maryland Energy Administration to the Maryland Clean Energy Center. It also modifies the reporting requirements for the Maryland Strategic Energy Investment Fund, specifying that the Maryland Energy Administration must account for disbursements exceeding $10,000 and estimate greenhouse gas emissions reductions resulting from program activities.",False,2026.0,,,Maryland Clean Energy Center,"Nonprofit organizations, local jurisdictions, Maryland State agencies, and eligible businesses."
2026 Regular Session,HB0246,Video Tolls - Class G (Trailer) Vehicles - Liability,"Establishing that the registered owner of a Class G (trailer) vehicle is liable to the Maryland Transportation Authority for payment of a video toll assessed at the time of passage through a toll collection facility, subject to certain standards and procedures for the transfer of liability.","This bill establishes that the registered owner of a Class G (trailer) vehicle is liable for paying video tolls incurred when passing through a toll collection facility. It defines the notification process for tolls due, sets procedures for contesting liability or transferring it to other parties such as lessees or operators of the towing vehicle, and allows for the suspension of vehicle registration for failure to pay.",False,2027.0,,,Maryland Transportation Authority and the Motor Vehicle Administration,"Registered owners, lessors, lessees, and operators of Class G (trailer) vehicles"
2026 Regular Session,HB0247,Chesapeake and Atlantic Coastal Bays Critical Area Protection Program - Variances - Alterations,Altering certain standards and requirements for variances from land use requirements under the Chesapeake and Atlantic Coastal Bays Critical Area Protection Program.,"This bill alters the standards and requirements for granting variances from land use regulations under the Chesapeake and Atlantic Coastal Bays Critical Area Protection Program. It establishes a rebuttable presumption that existing accessory structures demonstrate reasonable use, prohibits certain types of variance applications such as those for unauthorized uses or mitigation adjustments, and requires applicants to demonstrate a substantial need that is not based on convenience or financial advantage. Additionally, it mandates that local boards of appeals hear variance appeals on the record and grant deference to administrative findings of fact.",False,2026.0,,,Maryland Critical Area Commission and local jurisdictions,Property owners in the Chesapeake and Atlantic Coastal Bays Critical Area and local government zoning and appeals boards
2026 Regular Session,HB0248,"Motor Vehicle Administration - Identification Cards, Licenses, and Permits - Repeal of Color Photograph Requirement","Repealing the requirement that the photograph included on an identification card, a driver's license, or a moped operator's permit issued by the Motor Vehicle Administration be in color.","This bill repeals the requirement that photographs on Maryland identification cards, driver's licenses, and moped operator's permits be in color, allowing the Motor Vehicle Administration more flexibility in the photographic format of these documents.",False,,,,Motor Vehicle Administration,"Maryland residents applying for or renewing identification cards, driver's licenses, or moped operator's permits"
2026 Regular Session,HB0249,"Vehicle Laws - Automated Enforcement - Reciprocal Agreements, Arrangements, and Declarations","Altering the policy of the State regarding reciprocal vehicle registration agreements, arrangements, and declarations; and authorizing the Motor Vehicle Administrator to enter into reciprocal agreements, arrangements, or declarations to provide for reciprocal enforcement of violations recorded by traffic control signal monitoring systems and speed monitoring systems.","This bill authorizes the Maryland Motor Vehicle Administrator to enter into reciprocal agreements, arrangements, or declarations with other jurisdictions for the enforcement of traffic violations captured by automated systems, such as red-light and speed cameras. It grants the Motor Vehicle Administration the authority to refuse the registration or renewal of a motor vehicle for violations occurring in participating jurisdictions.",False,2026.0,,,Motor Vehicle Administrator,Motor vehicle owners and drivers in Maryland and other jurisdictions with reciprocal traffic enforcement agreements
2026 Regular Session,HB0250,Environment - Water Resources and Wetlands - Enforcement,"Authorizing the Department of the Environment to impose an administrative penalty for certain violations related to the appropriation or use of water and dam safety; repealing a certain limitation on the Department's authority to issue certain orders and send certain notices related to dam safety; authorizing the Department to impose an administrative penalty of up to $5,000 for each violation, not to exceed $100,000, for certain violations related to wetlands construction, modification, or development; etc.","This bill authorizes the Maryland Department of the Environment to impose administrative penalties for violations related to water resources, dam safety, and wetlands. It establishes penalty limits of up to $5,000 per violation with a $100,000 total cap, defines specific criteria for assessing these penalties, and requires the funds to be deposited into the Maryland Clean Water Fund or the Private Dam Repair Fund. The bill also expands the Department's authority to issue corrective orders and notices for dam safety violations by removing previous limitations.",False,2026.0,,,Maryland Department of the Environment,"Individuals and entities involved in water appropriation, dam operation, or wetlands development; local governments; and the Maryland Department of the Environment."
2026 Regular Session,HB0251,Vehicle Laws - Transfer of Used Vehicles - Repeal of Notarized Bill of Sale Requirement,Repealing the requirement that a notarized bill of sale be submitted to the Motor Vehicle Administration when transferring ownership of a certain used vehicle.,"This bill repeals the requirement that individuals submit a notarized bill of sale to the Maryland Motor Vehicle Administration when transferring ownership of a used vehicle, specifically in cases where the sale price is significantly lower than the vehicle's established retail value.",False,2026.0,,,Maryland Motor Vehicle Administration,Maryland residents buying or selling used vehicles through private (non-dealer) transactions
2026 Regular Session,HB0252,Environment – Lead Paint Abatement Services – Performance Bond and Liability Insurance,Authorizing regulations adopted by the Department of the Environment to include requirements for any person who is accredited by the Department to provide lead paint abatement services to be covered by a reasonable performance bond or reasonable liability insurance.,This bill authorizes the Maryland Department of the Environment to include requirements for performance bonds or liability insurance in the regulations governing individuals and entities accredited to provide lead paint abatement services.,False,2026.0,,,Maryland Department of the Environment,"Accredited lead paint abatement service providers, including contractors, supervisors, and inspectors, and the Maryland Department of the Environment."
2026 Regular Session,HB0253,Vehicle Laws - Heavy Weight Port Corridor Permits - Regulations,Altering the requirements for regulations related to the issuance of a heavy weight port corridor permit.,"This bill modifies the regulatory requirements for heavy weight port corridor permits, which allow vehicles transporting international freight in sealed seagoing containers to exceed certain weight limits. It streamlines the criteria for authorized routes and requires the Secretary of Transportation to establish specific destinations accessible from the Seagirt Marine Terminal through these permits.",False,2026.0,,,Maryland Secretary of Transportation,"Commercial vehicle operators and companies transporting international freight from the Seagirt Marine Terminal, the Maryland Department of Transportation, and local highway authorities."
2026 Regular Session,HB0254,Supporting Inclusive Community Adaptation Act,"Requiring the Department of Natural Resources to facilitate community participation in project planning and development; establishing the Resilience Through Restoration Capital Grant Fund to provide funding for nature-based restoration projects intended to reduce the State's climate change vulnerability; requiring, by October 1, 2027, the Department to develop a website, guidance, and training for certain tools and resources; requiring, by December 31, 2035, the Department to take certain actions relating to climate change; etc.","This bill requires the Maryland Department of Natural Resources (DNR) to facilitate community involvement in project planning and creates the Resilience Through Restoration Capital Grant Fund to support nature-based projects that address climate change vulnerabilities. It mandates that DNR develop online planning tools, guidance, and training for local governments by 2027, and requires the evaluation of climate risks on State-managed lands by 2035. Additionally, the bill updates the Shore Erosion Control Construction Loan Fund to allow for loan forgiveness and ensures interest earnings are retained within the respective funds.",True,2026.0,,,Maryland Department of Natural Resources,"State agencies, local jurisdictions, nonprofit organizations, and Maryland residents in communities vulnerable to climate change hazards such as flooding and sea level rise"
2026 Regular Session,HB0255,Natural Resources - Pamela J. Kelly Tree-Mendous Maryland Program - Alterations,Altering the stated purpose of the Pamela J. Kelly Tree-Mendous Maryland Program to include the advancement of forest health and resilience through the promotion and maintenance of native trees and shrubs.,"This bill expands the purpose of the Pamela J. Kelly Tree-Mendous Maryland Program within the Department of Natural Resources to include the advancement of forest health and resilience. It broadens the program's scope from simply planting native trees and shrubs to also include their promotion and maintenance on public lands, community open spaces, school grounds, and rights-of-way.",False,2026.0,,,Maryland Department of Natural Resources,"Maryland residents, local communities, schools, and public land managers"
2026 Regular Session,HB0256,Motor Vehicles – Speed Monitoring Systems – Safety Corridors (Vulnerable Road User Protection Act of 2026),Authorizing the State Highway Administration to implement a program of safety corridor speed monitoring systems for use in areas determined to be of high risk to vulnerable road users; authorizing a local jurisdiction to use speed monitoring systems in safety corridors under certain circumstances; authorizing the Comptroller to distribute revenue from the fines collected under the program to the State Highway Administration and the Transportation Trust Fund; etc.,"The Vulnerable Road User Protection Act of 2026 authorizes the Maryland State Highway Administration (SHA) to establish and operate speed monitoring systems within designated safety corridors—segments of highway identified as high-risk for pedestrians, bicyclists, and other vulnerable road users. The bill also allows local jurisdictions to use these systems under certain conditions, establishes a tiered civil penalty structure for speeding violations (ranging from $40 to $425), and directs the resulting fine revenue into a special fund for program administration, general highway safety, and system preservation.",True,2026.0,,,Maryland State Highway Administration,"Motorists, vulnerable road users (including pedestrians, bicyclists, and persons using mobility devices), and local jurisdictions in Maryland."
2026 Regular Session,HB0257,Environment - Flood-Related Watershed Studies and Comprehensive Flood Management Grant Program,"Requiring, by January 1, 2028, and every 5 years thereafter, and after consultation with local jurisdictions and State agencies, the Department of the Environment to designate priority watersheds for the purpose of requiring subdivisions to conduct flood-related watershed studies; requiring a subdivision that contains a designated priority watershed to conduct a watershed study and submit the study to the Department for review and approval; specifying the required contents of a flood-related watershed study required under the Act; etc.","This bill requires the Department of the Environment to designate priority watersheds every five years and mandates that local subdivisions within those watersheds conduct comprehensive flood-related studies. It updates the Comprehensive Flood Management Grant Program to allow grants for these studies, establishes new limits on grant awards, and requires that at least 40% of program funding be used for projects benefiting underserved or overburdened communities.",True,2026.0,,20000000.0,Maryland Department of the Environment,"Maryland counties and municipalities, residents and property owners in flood-prone areas, and underserved or overburdened communities"
2026 Regular Session,HB0258,Chesapeake and Atlantic Coastal Bays Critical Area Protection Program - Standards and Procedures,"Altering and updating the standards and procedures governing the Chesapeake and Atlantic Coastal Bays Critical Area Protection Program related to the approval of regulations, local program comprehensive reviews, locational standards for growth allocation, correcting mapping mistakes, and tree replanting.","This bill updates administrative standards and procedures for the Chesapeake and Atlantic Coastal Bays Critical Area Protection Program. It extends the required cycle for local program comprehensive reviews from 6 to 10 years, clarifies that growth allocations must be contiguous and adjoining to existing developed areas, and updates the timeline for correcting mapping mistakes. Additionally, it expands the types of qualified professionals who can prepare tree replanting plans for violations and redirects certain damage payments to local jurisdictions instead of the state department.",False,2026.0,,,Critical Area Commission,"Local jurisdictions within the Chesapeake and Atlantic Coastal Bays Critical Areas, property owners, developers, licensed foresters, and licensed landscape architects."
2026 Regular Session,HB0259,Financial Institutions - Maryland Community Investment Venture Fund and Regulation of Entities - Revisions,"Repealing certain fees charged to certain banking institutions by the Commissioner of Financial Regulation; altering certain provisions relating to the Maryland Community Investment Venture Fund, including the purpose and administration of the Fund; altering the date by which the Commissioner may match certain investments in the Fund from June 30, 2028, to June 30, 2030; altering and providing for certain assessment offset credits for certain banking institutions and credit unions; etc.","This bill modifies the administration and purpose of the Maryland Community Investment Venture Fund, extending its investment matching period to June 30, 2030. It focuses on promoting financial innovations, grants, and investments for consumers and businesses in low- to moderate-income areas. Additionally, the bill introduces assessment offset credits for financial institutions that offer 'Maryland Opportunity Accounts,' repeals specific administrative fees for banks, and updates the definition of an emergency to include cybersecurity incidents for the purpose of bank closures.",True,2026.0,2030.0,2750000.0,Commissioner of Financial Regulation,"Banking institutions, credit unions, and consumers and businesses in low- to moderate-income census tracts."
2026 Regular Session,HB0260,Public Financing Act – Fair Campaign Financing Fund – Distributions,"Altering, from January 1 of the year of the election to July 1 of the year before the election, the earliest date on which the State Board of Elections may begin making distributions from the Fair Campaign Financing Fund.","This bill modifies the timing for the distribution of money from the Fair Campaign Financing Fund, allowing the State Board of Elections to begin making distributions as early as July 1 of the year before an election, rather than January 1 of the election year.",False,2026.0,,,State Board of Elections,Maryland political candidates qualifying for public financing and the State Board of Elections
2026 Regular Session,HB0261,State Procurement - Competitive Proof of Concept Procurement,Establishing competitive proof of concept procurements as an authorized procurement method; providing that a competitive proof of concept procurement may have multiple phases of evaluation; requiring a unit of State government to obtain the approval of the Chief Procurement Officer or a designee before conducting a certain competitive proof of concept procurement; altering the required contents of a competitive proof of concept procurement solicitation; etc.,"This bill establishes 'competitive proof of concept procurement' as an authorized procurement method for Maryland State agencies. It defines a proof of concept as a test or pilot project used to evaluate if a good, service, or technology can be successfully deployed. The bill outlines approval processes through the Chief Procurement Officer or the Secretary of Information Technology, requires solicitations to be posted on eMaryland Marketplace Advantage, and allows for multi-phase evaluations and subsequent contracts for full implementation. It also addresses participation goals for minority and veteran-owned small businesses within this new procurement framework.",False,2026.0,,,Maryland Department of General Services,"State government units, private vendors, minority business enterprises, and veteran-owned small business enterprises"
2026 Regular Session,HB0262,State Government – Council for Open Data – Membership and Responsibilities,"Renaming the Council on Open Data to be the Council for Open Data; altering the membership and member terms of the Council; and altering the Council's responsibilities to include advising on data initiatives and priorities, and identifying and exploring ways in which partnerships may be developed and strengthened to connect Maryland data with communities and social service organizations.","House Bill 262 renames the Council on Open Data to the Council for Open Data, reduces its membership from 37 to 11 members, and designates the State Chief Data Officer as the Chair. The bill also updates the Council's responsibilities to include advising on data initiatives and exploring partnerships to connect Maryland data with communities and social service organizations.",False,2026.0,,,Department of Information Technology,"State and local government officials, private and academic data experts, and social service organizations"
2026 Regular Session,HB0263,Election Law - Early Voting Centers - Bus Stops,Requiring buses operating on fixed local routes funded by a county or municipal corporation and operated by a county or municipal corporation or a contractor for a county or municipal corporation to allow passengers to embark and disembark at the entrance of early voting centers located within one-half mile of the route.,"This bill requires county or municipal fixed-route buses to allow passengers to embark and disembark at the entrance of early voting centers if the center is located within a half-mile of the bus route. This requirement applies only during early voting days and excludes express or commuter routes, as well as routes operated by the Maryland Transit Administration or the Washington Metropolitan Area Transit Authority.",False,2027.0,,,State Board of Elections,Registered voters using local public transportation and local government transit agencies
2026 Regular Session,HB0264,Maryland Data Privacy and Protection Act of 2026,"Limiting the personal information that may be collected, maintained, processed, and retained by units of State government under certain circumstances; requiring certain personal information to be deleted or de-identified under certain circumstances; requiring each unit to post a certain privacy notice on its Internet website and establishing certain requirements for privacy notices and privacy policies; requiring each unit of State government to designate a Privacy Officer; etc.","The Maryland Data Privacy and Protection Act of 2026 regulates how State government units collect, maintain, and retain personal information. It requires agencies to limit data collection to the minimum necessary for legitimate government purposes, mandates the secure deletion or de-identification of data once it is no longer needed, and requires the appointment of a Privacy Officer for each unit. The bill also expands the legal definition of 'personal information' to include sensitive data such as biometric information, geolocation, and health data, while requiring the Department of Information Technology to set security and privacy standards for third-party government contracts.",False,2026.0,,,Maryland Department of Information Technology,"Maryland residents, State government agencies, and third-party government contractors"
2026 Regular Session,HB0265,State Board of Elections - Address Confidentiality Program - Designation of Contact Person,Requiring the State Board of Elections to designate a contact person for the Address Confidentiality Program; and providing the contact person acts as the contact for inquiries about the Program from local boards of elections and Program participants on matters related to the implementation of the Address Confidentiality Program.,This bill requires the Maryland State Board of Elections to designate a contact person for the Address Confidentiality Program to manage inquiries from local boards of elections and program participants regarding election-related implementation.,False,2026.0,,,State Board of Elections,"Survivors of threatened, attempted, or actual domestic violence, sexual assault, stalking, harassment, or human trafficking who are participants in the Address Confidentiality Program"
2026 Regular Session,HB0266,Department of Information Technology – Information Technology Investment Fund – Uses,"Authorizing the Information Technology Investment Fund, at the discretion of the Secretary of Information Technology, to be used to support State-owned communication sites, communication facilities, and telecommunications equipment used in connection with certain technology agreements.","This bill expands the authorized uses of the Information Technology Investment Fund. It grants the Secretary of Information Technology the discretion to use money from the fund to support State-owned communication sites, facilities, and telecommunications equipment used in connection with certain information technology agreements, including program management for these activities.",False,2026.0,,,Maryland Department of Information Technology,"Maryland State government agencies, first responders, and the Department of Information Technology staff"
2026 Regular Session,HB0267,Election Law - Campaign Finance Entities - Oversight and Control of Campaign Funds,Altering the manner in which the chair of a campaign finance entity is appointed; providing that the treasurer is the financial steward of a campaign finance entity; altering requirements for assets received by or on behalf of a campaign finance entity and disbursements made by or on behalf of a campaign finance entity; repealing the authority of the chair of a campaign finance entity to approve a disbursement on behalf of the campaign finance entity under certain circumstances; etc.,"This bill modifies the management and oversight of campaign funds by establishing the treasurer as the primary financial steward of a campaign finance entity. It prohibits candidates from directly accessing or making disbursements from their designated campaign accounts and repeals the authority of committee chairs to approve expenditures in the treasurer's absence. Instead, it allows treasurers to designate authorized agents in writing to handle disbursements, clarifies that assets are owned by the campaign entity, and sets civil penalties for unauthorized financial activities.",False,2027.0,,,Maryland State Board of Elections,"Political candidates, campaign treasurers, campaign managers, committee chairs, and political action committees (PACs) in Maryland."
2026 Regular Session,HB0268,Information Technology - Establishment of the Office of Enterprise Data and State Chief Data Officer and Collaboration With Agency Data Officers,Establishing the position and responsibilities of the State Chief Data Officer; establishing the Office of Enterprise Data in the Department of Information Technology and the responsibilities of the Office; and requiring certain units of State government and authorizing certain units of State government to appoint an Agency Data Officer and establishing the responsibilities of Agency Data Officers.,"This bill establishes the Office of Enterprise Data and the position of State Chief Data Officer within the Maryland Department of Information Technology. It mandates that principal State departments appoint Agency Data Officers to manage data quality, privacy, and sharing, and requires the development of a statewide data strategy, including guidelines for the ethical use of artificial intelligence and other emerging technologies.",False,2026.0,,,Maryland Department of Information Technology,"Maryland State agencies and departments, state employees, and Maryland residents"
2026 Regular Session,HB0269,Maryland Public Ethics Law - Financial Disclosure Statements - State Officials of and Candidates to be a State Official of the Judicial Branch,Requiring the Administrative Office of the Courts or another body designated by the Supreme Court of Maryland to administer and implement certain provisions of law relating to financial disclosure statements for State officials of the Judicial Branch and candidates to be a State official of the Judicial Branch and maintain and make available to the public the records and statements of State officials of the Judicial Branch and candidates to be a State official of the Judicial Branch; etc.,"This bill reassigns the responsibility for administering and implementing financial disclosure requirements for Maryland Judicial Branch officials and candidates from the State Ethics Commission to the Administrative Office of the Courts or another body designated by the Supreme Court of Maryland. It requires the designated judicial body to maintain these records and make them available for public inspection, while removing the requirement that the Supreme Court of Maryland transmit copies of these statements to the State Ethics Commission.",False,2026.0,,,Administrative Office of the Courts or another body designated by the Supreme Court of Maryland,"State officials of the Judicial Branch, candidates for the Judicial Branch, and the general public"
2026 Regular Session,HB0270,Military Family Inclusion Act,"Altering the membership of the Maryland Trust Fund Board of Trustees, the Maryland Veterans Commission, the Maryland Commission on Caregiving, and the Maryland Youth Advisory Council.","The Military Family Inclusion Act modifies the membership of several Maryland state boards and commissions to increase representation for military families and caregivers. It adds a family caregiver of a service-disabled veteran to the Maryland Commission on Caregiving, includes a representative from a military family organization on the Maryland Veterans Commission, and adds a youth from a military family to the Maryland Youth Advisory Council. The bill also updates the list of veterans' organizations represented on the Veterans Commission and clarifies the status of ex officio members on the Maryland Trust Fund Board of Trustees.",False,2026.0,,,Maryland Department of Veterans and Military Families,"Military families, service-disabled veterans, family caregivers of veterans, and youth with immediate family members who are service members."
2026 Regular Session,HB0271,State Procurement - Streamlining Contract Modifications,"Authorizing the approval of certain contract modifications to State contracts if the modification does not materially change the scope of the work and does not increase the contract by more than a certain amount; altering the definition of ""contract modification"" for certain State procurements; and requiring a procurement officer to document certain contract modifications.","This bill streamlines the Maryland State procurement process by establishing specific authorities and thresholds for contract modifications. It authorizes procurement officers to approve modifications that do not materially change the scope of work or exceed small procurement cost limits, while allowing higher-level procurement officials to approve modifications up to five times the small procurement limit. The bill also updates the definition of 'contract modification' and mandates documentation of all changes in the procurement file.",False,2026.0,,,"Maryland Department of General Services, the Chief Procurement Officer, and State procurement officers",Maryland State agencies and private contractors engaged in State procurement contracts
2026 Regular Session,HB0272,Food Establishments - Lavatory Requirement and On-Farm Food Service Facility License,"Altering the type of toilet that certain food establishments may use to comply with the requirement to provide a convenient lavatory; requiring that the fee for an on-farm food service facility license be determined by the Maryland Department of Health based on certain factors and prohibiting the fee from exceeding $100; establishing the term of an on-farm service facility license; and requiring the Department, in consultation with certain other departments, to adopt regulations governing on-farm service facility licenses.","This bill creates a dedicated annual license for on-farm food service facilities, replacing the previous temporary licensing system and setting a maximum fee of $100. It also updates sanitation requirements to allow agritourism businesses, wineries, and breweries to use portable toilets rather than specifically chemical toilets, and it requires the Maryland Department of Health to adopt regulations regarding water access, wastewater, and food preparation for these facilities.",False,2027.0,,,Maryland Department of Health,"Agritourism businesses, Class 4 limited wineries, Class 8 farm breweries, on-farm food service facility operators, and their patrons."
2026 Regular Session,HB0273,Health Insurance – Small Business Health Options Program (SHOP) Enrollment – Effective Dates,Altering the effective dates of enrollment in a Small Business Health Options (SHOP) Exchange plan for individuals who enroll during certain special enrollment periods.,"This bill updates and simplifies the effective dates for health insurance coverage enrollment through the Small Business Health Options Program (SHOP) for individuals qualifying for special enrollment periods. Specifically, for life events like court orders, death, divorce, or legal separation, it standardizes the start of coverage to the first day of the month following the plan selection, removing previous rules that delayed coverage if the selection was made in the second half of the month.",False,2026.0,,,Maryland Insurance Administration,Small business employees and their dependents enrolled in the Small Business Health Options Program (SHOP) Exchange
2026 Regular Session,HB0274,State Board of Environmental Health Specialists - Sunset Extension,"Continuing the State Board of Environmental Health Specialists, in accordance with the provisions of the Maryland Program Evaluation Act (sunset law), by extending to July 1, 2032, the termination provisions relating to the statutory and regulatory authority of the Board.","This bill extends the termination date for the State Board of Environmental Health Specialists from July 1, 2027, to July 1, 2032, ensuring the continued operation of the board in accordance with the Maryland Program Evaluation Act.",False,2026.0,2032.0,,State Board of Environmental Health Specialists,Environmental health specialists and the Maryland Department of Health
2026 Regular Session,HB0275,Medicare Supplement Policies - Issuance - Requirements,Requiring a carrier that issues Medicare supplement policies to issue a Medicare supplement policy to an individual who meets certain criteria during certain special enrollment periods.,"This bill requires health insurance carriers to issue Medicare supplement policies to individuals who lose their Maryland Medical Assistance Program coverage after being enrolled for at least six months, or who qualify under certain federal special enrollment periods. The bill prohibits carriers from denying coverage or using medical underwriting to discriminate in pricing based on health status during these specified enrollment windows.",False,2026.0,,,Maryland Insurance Administration,"Medicare-eligible individuals transitioning out of Medicaid, individuals qualifying for federal special enrollment periods, and insurance carriers issuing Medicare supplement policies in Maryland."
