Agency Name,URL,Summary
Maryland State Lottery & Gaming Control Agency,https://www.mdlottery.com/,"The **Maryland State Lottery & Gaming Control Agency (MLGCA)** is the regulatory body responsible for operating the Maryland Lottery and overseeing the state's commercial gaming industry, including casinos, sports wagering, and fantasy competitions. Its primary responsibilities involve ensuring the integrity and fairness of all gaming activities through rigorous auditing, licensing, and background checks of operators and employees. Beyond regulation, the agency performs a vital economic role for Maryland residents by generating significant revenue for the state; proceeds are distributed to the Maryland General Fund and the Education Trust Fund to support public education, environment, and public health initiatives. Additionally, the MLGCA administers responsible gambling programs and consumer protection resources, such as the voluntary self-exclusion program and a confidential helpline, to promote safe gaming practices across the state."
Maryland State Retirement Agency,https://www.sra.state.md.us/,"The **Maryland State Retirement Agency (SRA)** serves as the administrative arm of the Maryland State Retirement and Pension System, which provides essential financial security to over 420,000 active members and retirees. The agency is primarily responsible for managing the daily operations of 12 distinct retirement plans that cover Maryland’s public sector workforce, including teachers, state and local government employees, police officers, judges, and legislators. Its core work includes collecting member and employer contributions, supervising the management of a multibillion-dollar investment portfolio to ensure long-term funding, and providing personalized retirement counseling. For Maryland residents, the agency ensures the accurate and timely distribution of retirement, disability, and survivor benefits, while maintaining fiscal accountability to ensure that promised benefits are available when participants reach the end of their professional careers."
Maryland Tax Court,https://taxcourt.maryland.gov/,"The **Maryland Tax Court** is an independent, quasi-judicial administrative agency that serves as the highest level of administrative review for tax controversies in the state. Its primary responsibility is to adjudicate disputes and make factual determinations regarding a wide range of tax issues, including state income tax, sales and use tax, and assessments of real and personal property. For Maryland residents, the Court provides a neutral forum to appeal final decisions made by state and local taxing authorities—such as the Comptroller of Maryland or the Department of Assessments and Taxation—performing work that includes conducting pretrial conferences, holding formal hearings, and issuing written legal opinions to resolve tax-related grievances."
Maryland Teachers & State Employees Supplemental Retirement Plans,https://msrp.maryland.gov/,"The **Maryland Teachers & State Employees Supplemental Retirement Plans (MSRP)**—which was officially renamed the **Maryland State Employees Supplemental Retirement Plans** in July 2025—is an independent state agency responsible for providing voluntary, tax-advantaged retirement savings options to Maryland’s public workforce. Its primary mission is to help state employees, teachers, and elected officials bridge the gap between their state pension and Social Security by managing several defined-contribution plans, including **457(b)**, **401(k)**, and **403(b)** accounts. The agency also administers a **401(a) Match Plan**, which provides an employer-funded contribution to encourage employee saving. Governed by a Governor-appointed Board of Trustees, MSRP performs critical work for Maryland residents by overseeing investment performance, selecting low-fee plan administrators, and providing educational resources to ensure participants can achieve long-term economic stability in retirement."
Maryland Technology Development Corporation,https://www.tedcomd.com/,"The **Maryland Technology Development Corporation (TEDCO)** is an independent instrumentality of the state established to foster the growth of Maryland’s innovation economy. Its primary responsibility is to serve as the state's leading source of funding, mentorship, and resources for early-stage technology and life sciences companies. TEDCO performs critical work for Maryland residents by facilitating the commercialization of research from universities and federal laboratories, providing ""seed"" and venture capital to startups, and offering specialized support for underserved and rural entrepreneurs. By bridging the gap between innovative ideas and market-ready businesses, the agency drives job creation, attracts private investment, and ensures that Maryland remains a competitive hub for high-tech industries."
Maryland Transit Administration,https://mta.maryland.gov/,"The **Maryland Transit Administration (MTA)**, a division of the Maryland Department of Transportation (MDOT), is a state agency responsible for operating and managing one of the largest multi-modal transit systems in the United States. Its primary mission is to provide safe, reliable, and efficient public transportation to residents across the Baltimore-Washington metropolitan area and throughout the state. The agency’s work includes the daily operation of six major transit modes: local and commuter bus lines, the Metro SubwayLink, Light RailLink, the MARC commuter train system, and MobilityLink paratransit for individuals with disabilities. In addition to transit operations, the MTA is responsible for large-scale infrastructure planning, vehicle procurement, and the maintenance of rail and bus facilities. By offering affordable alternatives to single-occupancy vehicles, the MTA plays a crucial role in connecting Marylanders to employment and education while working to reduce regional traffic congestion and carbon emissions."
Maryland Transportation Authority,https://mdta.maryland.gov/,"The **Maryland Transportation Authority (MDTA)** is an independent state agency responsible for financing, constructing, managing, and maintaining Maryland’s primary toll facilities, including its major bridges, tunnels, and turnpikes. Operating as a self-sufficient entity, the MDTA is funded entirely by toll revenues rather than general tax dollars, using these funds to support the state’s critical infrastructure and finance new revenue-producing transportation projects. For Maryland residents, the agency provides safe and efficient travel across eight key facilities—such as the Chesapeake Bay Bridge and the Fort McHenry Tunnel—while managing the **E-ZPass** Maryland system for cashless convenience. Additionally, the agency oversees the **MDTA Police**, a dedicated law enforcement force that ensures the safety of travelers, protects transportation assets, and provides security for the Port of Baltimore and BWI Thurgood Marshall Airport."
Maryland Venture Capital Trust,https://msa.maryland.gov/msa/mdmanual/25ind/defunct/html/76vent.html,"The **Maryland Venture Capital Trust** was a state-authorized entity established in 1990 to stimulate economic growth by providing a mechanism for Maryland’s public pension funds and political subdivisions to invest in venture capital. Operating as a ""fund-of-funds,"" the Trust’s primary responsibility was to invest in various venture capital limited partnerships that were committed to funding early-stage Maryland business enterprises. By channeling capital into these emerging companies, the Trust worked to foster innovation and job creation within the state while aiming to generate strong financial returns for the pension systems of Maryland residents, such as teachers and state employees. Although the Trust was instrumental in supporting the local startup ecosystem for over two decades, it ceased making new investments and finalized its liquidation phase in January 2013. Its historical role in fostering venture investment has since been largely superseded by active agencies like the Maryland Technology Development Corporation (TEDCO) and the Maryland Venture Fund."
MarylandSaves,https://www.marylandsaves.com/,"MarylandSaves, formally known as the **Maryland Small Business Retirement Savings Program**, is a state-sponsored initiative designed to provide private-sector employees and self-employed individuals with a simple, automated way to save for retirement. Managed by the Maryland Small Business Retirement Savings Board, the agency’s primary responsibility is to oversee a state-managed Roth IRA platform—often called a ""WorkLife Account""—that follows workers from job to job. The program performs a critical service for Maryland residents by closing the ""retirement gap"" for the nearly one million workers who lack access to employer-sponsored plans; it mandates that eligible businesses either offer their own retirement plan or enroll their employees in MarylandSaves. By facilitating automatic payroll deductions (starting at a default 5%) and offering built-in emergency savings features, the agency provides residents with a low-cost, tax-advantaged vehicle to build long-term financial security and emergency resilience."
Morgan State University,https://www.morgan.edu/,"Morgan State University is a Maryland state agency designated as the state’s **Preeminent Public Urban Research University**. As a historically Black institution (HBCU) with its own independent Board of Regents, the university's primary responsibility is to provide comprehensive undergraduate, graduate, and doctoral education to a diverse, multiethnic student body. For Maryland residents, the agency performs critical work by addressing modern urban challenges through intense community-level study and pioneering research in fields such as engineering, cybersecurity, and public health. Beyond its academic role, the university serves the public as a ""primary procurement unit"" of the state and a major economic engine for Baltimore, driving innovation through its high-research (R2) classification and status as one of the nation’s top patent-producing HBCUs."
Motor Vehicle Administration,https://mva.maryland.gov/,"The **Maryland Motor Vehicle Administration (MDOT MVA)** is a state agency within the Maryland Department of Transportation responsible for managing driver and vehicle services to ensure road safety and regulatory compliance. Its primary responsibilities include issuing driver’s licenses, learner’s permits, and identification cards; conducting knowledge and skills tests; and overseeing vehicle titling and registration. Beyond these core functions, the MVA maintains official driving records, administers driver education and safety programs, and enforces motor vehicle laws and insurance requirements. For Maryland residents, the agency provides essential services through both its physical branch offices and a comprehensive online portal, handling everything from specialty license plate issuance to the medical review of drivers and the regulation of commercial vehicle endorsements."
Office of Administrative Hearings,https://oah.maryland.gov/,"The **Maryland Office of Administrative Hearings (OAH)** is an independent state agency responsible for providing an impartial and objective forum for Maryland residents to challenge decisions made by various executive branch agencies. Established to centralize the administrative hearing process, the OAH employs experienced Administrative Law Judges (ALJs) who conduct formal, trial-like proceedings for over 30 state agencies, including the Motor Vehicle Administration (MVA), the Department of Health, and the Department of Human Services. Its primary responsibilities include resolving contested cases—such as driver’s license suspensions, health benefit denials, and discrimination claims—and providing mediation services for disputes like special education requests and home foreclosures. By separating the adjudication process from the agencies whose actions are being reviewed, the OAH ensures that residents receive fair due process and a neutral review of government actions."
Office of Controlled Substances Administration,https://health.maryland.gov/OCSA/,"The **Maryland Office of Controlled Substances Administration (OCSA)**, a division of the Maryland Department of Health, is responsible for enforcing the state’s Controlled Dangerous Substances (CDS) Act. Its primary mission is to ensure that controlled substances remain available for legitimate medical and scientific purposes while actively working to prevent drug abuse and diversion. The OCSA performs critical regulatory work by issuing CDS registrations to healthcare practitioners, pharmacies, hospitals, and researchers, and by conducting regular inspections of these registrants to ensure compliance with state and federal laws. For Maryland residents, the agency serves as a frontline safeguard for public health by monitoring the legal supply chain of medications, coordinating with the Prescription Drug Monitoring Program (PDMP) to address the opioid epidemic, and collaborating with federal agencies like the DEA to investigate the illicit misuse of prescription drugs."
Office of Legislative Audits,https://www.ola.state.md.us/index.html,"The **Maryland Office of Legislative Audits (OLA)** is an independent, non-partisan agency within the Department of Legislative Services that serves as a watchdog for the Maryland General Assembly and the state's residents. Its primary responsibility is to conduct regular fiscal compliance audits of all Executive and Judicial Branch agencies—typically every three to four years—to ensure that public funds are handled according to state law and that effective financial controls are in place. Beyond financial oversight, the OLA performs performance audits to evaluate the efficiency and effectiveness of government programs, conducts information system audits to safeguard citizen data, and manages a fraud hotline to investigate allegations of fraud, waste, and abuse. For Maryland residents, the OLA’s work provides critical transparency and accountability, ensuring that taxpayer dollars are spent responsibly and that state government operations are continuously improved."
Office of the People's Counsel,https://opc.maryland.gov/,"The Maryland Office of the People’s Counsel (OPC) is an independent state agency dedicated to advocating for the interests of residential utility consumers. Established in 1924 as the oldest office of its kind in the United States, the OPC functions primarily as a specialized law office that represents the public in matters involving electricity, natural gas, telecommunications, private water, and certain transportation services. Its primary responsibilities include appearing before the Maryland Public Service Commission, federal regulatory agencies, and the courts to ensure that utility services remain safe, reliable, and reasonably priced while aligning with the state’s environmental and climate goals. In addition to its legal advocacy, the agency employs technical experts in fields like engineering and economics to analyze utility rate cases and provides direct assistance to residents by helping them understand their utility bills and navigate complex service issues."
Office of the State Prosecutor,https://osp.maryland.gov/,"The **Maryland Office of the State Prosecutor (OSP)** is an independent unit within the Office of the Attorney General primarily responsible for investigating and prosecuting criminal offenses that threaten the integrity of state government and the electoral process. Its mandate includes handling violations of state election and public ethics laws, bribery of public officials, misconduct in office, and related crimes such as extortion, perjury, or obstruction of justice. For Maryland residents, the OSP serves as a critical watchdog agency, ensuring that public servants and government institutions operate with honesty and that the democratic process remains fair and transparent by addressing corruption and multi-jurisdictional crimes that may exceed the scope of local local State’s Attorneys."
Pimlico Community Development Authority,https://msa.maryland.gov/msa/mdmanual/25ind/html/55pimlico.html,"The **Pimlico Community Development Authority (PCDA)** is an advisory body established by Maryland state legislation to oversee and prioritize the allocation of **Local Impact Aid**—revenue generated from state video lottery terminals (slots) and horse racing funds. Functioning as the local development council for Baltimore City, the PCDA is responsible for advising the Mayor on an annual spending plan that directs millions of dollars toward capital projects, economic development, and community revitalization. Its work specifically targets the neighborhoods surrounding the **Pimlico Race Course**, with a primary focus on implementing the **Park Heights Master Plan** and supporting residents within a one-mile radius of the track. By providing a platform for community input, the PCDA ensures that gaming and racing revenues are reinvested into essential local improvements such as affordable housing, infrastructure, public safety, and neighborhood beautification."
Property Tax Assessment Appeals Board,https://ptaab.maryland.gov,"The **Maryland Property Tax Assessment Appeals Board (PTAAB)** is an independent state agency that provides Maryland residents with a formal second-level process to contest property tax assessments. Serving each county and Baltimore City, the Board’s primary responsibility is to conduct hearings for property owners who disagree with the valuations or decisions made by the State Department of Assessments and Taxation (SDAT). Beyond simple valuation disputes, the Board also has jurisdiction over appeals related to the **Homeowners’ and Renters’ Tax Credit Programs**, the **Agricultural Land Preservation Easement Program**, and the rejection of property tax exemptions. By reviewing evidence such as comparable sales and property condition, the Board performs the critical function of ensuring that local assessments are fair and accurate before any further legal action is taken in the Maryland Tax Court."
Public Employee Relations Board,https://laborboard.maryland.gov/,"The Maryland **Public Employee Relations Board (PERB)** is a quasi-judicial state agency established on July 1, 2023, to centralize and streamline labor relations for the state's public workforce. Consolidating the duties of three former boards—the State Labor Relations Board, the State Higher Education Labor Relations Board, and the Public School Labor Relations Board—the PERB oversees collective bargaining activities for employees in state agencies, public schools, and higher education institutions. Its primary responsibilities include facilitating representation elections, investigating unfair labor practices, enforcing collective bargaining agreements, and resolving labor disputes and grievances. For Maryland residents, the agency performs critical work by ensuring fair and stable labor relations within the public sector, which helps maintain the reliable delivery of essential community services like education and state government operations."
Public School Labor Relations Board,https://laborboards.maryland.gov/566-2/,"The **Public School Labor Relations Board (PSLRB)** is an independent Maryland state agency responsible for overseeing and adjudicating labor relations within the state’s public elementary and secondary education systems. Its primary responsibilities include certifying employee organizations for collective bargaining, resolving negotiation impasses, and deciding controversies or disputes between local boards of education and school system personnel. The Board performs critical work for Maryland residents by investigating unfair labor practice charges and supervising representative elections to ensure a fair, structured environment for labor negotiations. By maintaining stability in the public education workforce and preventing labor-related disruptions, the Board helps ensure the continuous and effective operation of Maryland’s K-12 schools. **Note:** As of July 1, 2023, the PSLRB’s functions were consolidated into the newly established **Public Employees Relations Board (PERB)**, which now administers these duties for all state, higher education, and public school employees."
Public Service Commission,https://www.psc.state.md.us/,"The **Maryland Public Service Commission (PSC)** is an independent state agency responsible for regulating public utilities and certain transportation services to ensure they remain safe, reliable, and economically viable for residents. Its primary responsibilities include setting fair rates and service standards for electricity, natural gas, telecommunications, water, and sewage disposal companies. Beyond utilities, the PSC oversees the licensing of energy suppliers, approves the construction of power plants and high-voltage transmission lines, and regulates for-hire passenger services, including taxicabs in specific jurisdictions and charter buses. For Maryland residents, the agency performs critical consumer protection work by enforcing industry regulations, investigating service quality issues, and balancing the interests of utility companies with the public’s need for affordable and environmentally responsible essential services."
Register of Wills,https://registers.maryland.gov/,"The **Maryland Register of Wills** is a state agency responsible for overseeing the administrative probate of decedents' estates and protecting the legal records related to those proceedings. With an elected office in each county and Baltimore City, the agency’s primary responsibilities include appointing personal representatives to manage estates, auditing financial accounts, and collecting inheritance taxes and probate fees. For Maryland residents, the office provides essential services such as assisting the public with the preparation of probate forms, providing safekeeping for the wills of living persons, and maintaining permanent records of all estate matters. While the Register of Wills serves as the Clerk to the Orphans' Court and manages undisputed administrative probate, it also ensures the timely and proper distribution of assets to heirs and beneficiaries according to Maryland law."
Rural Maryland Council,https://rural.maryland.gov/,"The **Rural Maryland Council (RMC)** is an independent state agency that serves as a collective voice and strategic partner for the 18 rural counties of Maryland. Its primary responsibility is to address the unique challenges facing rural communities—such as geographic isolation and limited access to healthcare, broadband, and transportation—by fostering collaboration between government officials, nonprofits, and the private sector. The RMC performs critical work for Maryland residents by advocating for rural interests in the state legislature and administering major grant programs, specifically the **Maryland Agricultural Education and Rural Development Assistance Fund (MAERDAF)** and the **Rural Maryland Prosperity Investment Fund (RMPIF)**. These funds support local initiatives in economic development, healthcare infrastructure, and agricultural education, directly improving the quality of life and economic sustainability for the state's rural populations."
Saint Mary's College of Maryland,https://www.smcm.edu/,"Saint Mary's College of Maryland is a state agency designated as Maryland’s ""Public Honors College,"" functioning as an independent public liberal arts institution. Its primary responsibility is to provide Maryland residents with a high-quality, rigorous undergraduate education that mimics the experience of an elite private college at an affordable public tuition rate. The agency performs this work by offering diverse degree programs, fostering close faculty-student mentoring, and emphasizing experiential learning and social responsibility. Additionally, as a steward of the site of Maryland’s first colonial capital, the college serves the public by preserving regional heritage, promoting environmental stewardship of the St. Mary’s River, and serving as a cultural and intellectual hub for the Southern Maryland community."
"Smart, Green & Growing",https://www.green.maryland.gov/,"**Smart, Green & Growing** is a comprehensive, multi-agency initiative in Maryland designed to promote sustainable growth, environmental stewardship, and economic revitalization. Launched as a signature strategy during the O'Malley administration, it serves as an umbrella for the state’s ""Smart Growth"" efforts, coordinating work across various departments such as the Maryland Department of Planning, the Department of the Environment, and the Department of Natural Resources. Its primary responsibilities include reducing urban sprawl, protecting the state’s agricultural and forest lands, and improving the health of the Chesapeake and Coastal Bays. For Maryland residents, the initiative performs work by implementing sound land-use policies that direct development into existing communities, enhancing transit-oriented neighborhoods, and providing tools and incentives for energy efficiency and resource conservation. Ultimately, it seeks to balance population growth with the preservation of the state's natural treasures to ensure a high quality of life for future generations."
State Ethics Commission,https://ethics.maryland.gov/,"The **Maryland State Ethics Commission** is the independent agency responsible for administering and enforcing the Maryland Public Ethics Law to ensure the impartiality and integrity of State government. Its primary responsibilities include managing a comprehensive financial disclosure program for over 14,000 public officials and employees, regulating the registration and reporting of lobbyists, and establishing clear conflict-of-interest standards for State personnel. For Maryland residents, the Commission serves as a vital oversight body that promotes transparency and maintains public confidence by providing ethics training, issuing advisory opinions, and investigating complaints regarding potential ethical violations. By guarding against improper influence, the agency works to ensure that State and local business is conducted with the highest level of accountability."
State Higher Education Labor Relations Board,https://laborboards.maryland.gov/higher-education-board/,"The **Maryland State Higher Education Labor Relations Board (SHELRB)** is an independent regulatory body responsible for administering and enforcing collective bargaining laws for employees of Maryland’s public institutions of higher education. Its primary responsibilities include supervising the election of exclusive representatives (unions), resolving disputes regarding bargaining units, and investigating and adjudicating complaints of unfair labor practices or lockouts. The Board serves Maryland residents by ensuring stable and fair labor relations within the University System of Maryland, Morgan State University, St. Mary’s College of Maryland, and Baltimore City Community College, thereby protecting the rights of public employees and maintaining the operational integrity of the state’s higher education system. **Note:** As of July 1, 2023, the SHELRB was consolidated with the State Labor Relations Board and the Public Schools Labor Relations Board to form a single unified agency known as the **Public Employee Relations Board (PERB)**."
State Highway Administration,https://www.sha.maryland.gov/,"The Maryland Department of Transportation State Highway Administration (MDOT SHA) is the state agency responsible for the planning, design, construction, and maintenance of Maryland’s numbered highways outside of Baltimore City. As a primary steward of the state's infrastructure, the SHA manages thousands of miles of roadways and all non-tolled bridges, ensuring a safe and reliable transportation network for residents and visitors. Its day-to-day operations include essential services such as snow and ice removal, pothole repair, traffic signal synchronization, and roadside assistance through the Coordinated Highways Action Response Team (CHART). Additionally, the agency leads long-term infrastructure projects to reduce congestion, oversees environmental programs like ""Adopt-A-Highway,"" and utilizes advanced technology to provide real-time traffic updates, all aimed at enhancing mobility and public safety across the state."
State House Trust,https://msa.maryland.gov/msa/mdmanual/25ind/html/68shous.html,"The **State House Trust** is a Maryland state body created in 1969 to oversee and preserve the Maryland State House and the surrounding grounds within State Circle in Annapolis. Its primary responsibility is to maintain the architectural and historical integrity of this National Historic Landmark—the oldest state house in continuous legislative use in the nation—by supervising all repairs, improvements, landscaping, and structural alterations. For Maryland residents, the Trust ensures the State House remains a functional, safe, and historically accurate public space by regulating its use, managing educational exhibits, and safeguarding the state’s political heritage for future generations. The Trust is composed of high-ranking state officials, including the Lieutenant Governor, the President of the Senate, and the Speaker of the House, who work with architectural consultants to balance modern legislative needs with rigorous historic preservation standards."
State Workers' Compensation Commission,https://www.wcc.state.md.us/,"The **Maryland State Workers' Compensation Commission (WCC)** is an independent agency responsible for administering the state's Workers’ Compensation Act and adjudicating claims arising from workplace injuries and occupational diseases. Functioning as a quasi-judicial body, the Commission processes accident reports, conducts hearings to resolve disputes between employees and employers, and determines the awarding of medical, vocational rehabilitation, and disability benefits. For Maryland residents, the agency ensures that injured workers have access to a fair legal forum for securing essential compensation while strictly enforcing mandatory insurance requirements for employers to maintain a stable and compliant workforce safety net."
Subsequent Injury Fund,https://mdsif.state.md.us/,"The **Maryland Subsequent Injury Fund (SIF)** is an independent state agency designed to encourage the employment of individuals with pre-existing disabilities or health conditions by limiting the financial liability of employers. When a worker with a prior impairment—whether from a previous injury, disease, or congenital condition—suffers a new workplace injury, the employer’s insurer is only responsible for the compensation related to the current accident. The SIF assumes responsibility for the additional permanent disability resulting from the combined effects of the pre-existing and new conditions. To fulfill this mission, the agency investigates workers' compensation claims, evaluates medical records, and provides monetary benefits to qualified residents whose total disability exceeds specific legal thresholds. Funded by assessments on workers' compensation awards rather than general tax revenue, the SIF ensures that Marylanders with pre-existing conditions can remain competitive in the workforce while receiving the full compensation they are entitled to for their combined disabilities."
University System of Maryland,https://www.usmd.edu/,"The **University System of Maryland (USM)** is the state’s public higher education agency, serving as an umbrella organization that provides strategic leadership and financial stewardship for 12 universities and several regional higher education centers. Its primary responsibility is to improve the quality of life for Maryland residents by ensuring access to high-quality, affordable, and diverse educational opportunities. For the state’s citizens, USM performs critical work in workforce development—specifically targeting high-demand STEM fields—and acts as a major engine for economic growth through extensive research, innovation, and community-based programs. By leveraging centralized resources and fostering collaboration across its member institutions, the agency works to bridge the gap between higher education and the state’s social and economic needs."
Volunteer Maryland,https://volunteer.maryland.gov/,"Volunteer Maryland is a state-administered AmeriCorps program, now part of the Maryland Department of Service and Civic Innovation, that strengthens communities by building the capacity of nonprofit organizations and government agencies. Its primary responsibility is to recruit, train, and place **Volunteer Maryland Coordinators** (AmeriCorps members) at host sites throughout the state to develop sustainable volunteer programs. These coordinators perform critical work for Maryland residents by identifying community needs, recruiting and managing local volunteers, and creating long-term organizational infrastructure—such as training manuals and evaluation tools—to ensure that service efforts in areas like education, environmental stewardship, and human services are effective and impactful."
Maryland State Innovation Team,https://innovation.maryland.gov/Pages/default.aspx,"The **Maryland State Innovation Team** is a specialized unit within the Governor’s Office, launched in 2024 through a partnership with Bloomberg Philanthropies as the first-ever state-level innovation team of its kind. Functioning as a ""solution incubator,"" the team is primarily responsible for identifying, testing, and piloting data-driven initiatives to address Governor Wes Moore's top priorities, with a central focus on reducing childhood poverty and increasing economic mobility. To serve Maryland residents, the team utilizes a cross-functional approach—combining expertise in data science, civic design, and community engagement—to modernize government services, such as expanding access to the Earned Income Tax Credit and launching the Maryland Community Investment Venture Fund to support small business owners. Its work involves collaborating across various state agencies to co-create evidence-based solutions that improve long-term economic outcomes and opportunity for families throughout the state."
